M_sigma	S	Q_alpha	motif_intron_summary	motif_intron
0.81	0.4	Inf	0	0.007735921813093238
0.81	0.8	Inf	0	0.003078695540965469
0.82	0	Inf	0	0.004456520173326274
0.82	0.05	Inf	0	0.017004044883138503
0.82	0.1	Inf	0	0.0074187316307576905
0.82	0.2	Inf	0	0.00790975520198976
0.82	0.4	Inf	0	0.010820562478306026
0.82	0.8	Inf	0	0.001910368596708864
0.83	0	Inf	0	0.005764221991854406
0.83	0.05	Inf	0	0.011697254751465014
0.83	0.1	Inf	0	0.0087090860100202
0.83	0.2	Inf	0	0.003646863341288931
0.83	0.4	Inf	0	0.002941353997810533
0.83	0.8	Inf	0	0.004005976748210344
0.84	0	Inf	0	0.01017477809524919
0.84	0.05	Inf	0	0.010685345014990785
0.84	0.1	Inf	0	0.008982835803428364
0.84	0.2	Inf	0	0.006031373925350058
0.84	0.4	Inf	0	0.007509141061355447
0.84	0.8	Inf	0	0.018039913325242327
0.85	0	Inf	0	0.001881340040328121
0.85	0.05	Inf	0	0.011140107783237674
0.85	0.1	Inf	0	0.011264559723432054
0.85	0.2	Inf	0	0.006826189010583042
0.85	0.4	Inf	0	0.0027627408380451884
0.85	0.8	Inf	0	0.005647513491777163
0.86	0	Inf	0	0.006961213973175333
0.86	0.05	Inf	0	0.007767152617952004
0.86	0.1	Inf	0	0.010739302259424249
0.86	0.2	Inf	0	0.007905707251990796
0.86	0.4	Inf	0	0.008505372353688426
0.86	0.8	Inf	0	0.002561362764841602
0.87	0	Inf	0	0.011725150823525259
0.87	0.05	Inf	0	0.00247579350174166
0.87	0.1	Inf	0	0.007650046712961612
0.87	0.2	Inf	0	0.005645136037810398
0.87	0.4	Inf	0	0.01631568971383366
0.87	0.8	Inf	0	0.0068497775844280516
0.88	0	Inf	0	0.0036146388545261142
0.88	0.05	Inf	0	0.0065594669726848475
0.88	0.1	Inf	0	0.00967838522956572
0.88	0.2	Inf	0	0.009760848892709196
0.88	0.4	Inf	0	0.004649576847509726
0.88	0.8	Inf	0	0.006996544047427075
0.89	0	Inf	0	0.00800744849476129
0.89	0.05	Inf	0	0.006074285183686571
0.89	0.1	Inf	0	0.0033896625676670153
0.89	0.2	Inf	0	0.006607370327918831
0.89	0.4	Inf	0	0.004943532414306054
0.89	0.8	Inf	0	0.007835851225956954
